time_utc,vram_mb,pid,ppid,rss_kb,vsz_kb,stat,cmd
2026-05-31 03:05:09,11067,821010,1,12556,16996,Ss,/root/miniconda3/bin/python scripts/resume_creff_train_until.py --weights weights/cutie-base-mega.pth --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --target-step 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-every 25
2026-05-31 03:05:09,11067,821012,821010,2477608,35159912,Sl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:05:09,11067,821076,821012,1024044,21538200,Rl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:05:14,11067,821010,1,12556,16996,Ss,/root/miniconda3/bin/python scripts/resume_creff_train_until.py --weights weights/cutie-base-mega.pth --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --target-step 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-every 25
2026-05-31 03:05:14,11067,821012,821010,2477612,35159912,Sl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:05:14,11067,821076,821012,943012,21408592,Rl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:05:20,11067,821010,1,12556,16996,Ss,/root/miniconda3/bin/python scripts/resume_creff_train_until.py --weights weights/cutie-base-mega.pth --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --target-step 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-every 25
2026-05-31 03:05:20,11067,821012,821010,2477612,35159912,Sl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:05:20,11067,821076,821012,943012,21408592,Rl,/root/miniconda3/bin/python scripts/train_compressed_davis_dataloader.py --weights weights/cutie-base-mega.pth --steps 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --save-every 25 --resume output/creff_davis_creff_only_s480_l8_b4a8/compressed_davis_dataloader_step_225.pth --start-step 225
2026-05-31 03:05:25,11067,821010,1,12556,16996,Ss,/root/miniconda3/bin/python scripts/resume_creff_train_until.py --weights weights/cutie-base-mega.pth --save-dir output/creff_davis_creff_only_s480_l8_b4a8 --target-step 1000 --size 480 --resize-mode crop --seq-length 8 --batch-size 2 --grad-accum 16 --num-workers 1 --prefetch-factor 1 --save-every 25
